area_cont,area_ctry,area_name,area_code,proj,C2020,C2030,C2035,C2040,C2050,C2055,C2060,C2070,C2080,C2085,C2090,C2100,C2110,id_cont,id_d
America,Saint Kitts and N.,Saint Kitts and N.,KNA,high,6301,7500,13321,19400,32327,39073,46076,60609,76253,84424,92809,110219,127893,1,3
America,Saint Lucia,Saint Lucia,LCA,low,50618,26974,42440,56926,83627,97020,110209,136827,163506,177066,190749,218645,247797,1,1
America,Saint Lucia,Saint Lucia,LCA,mean,50618,59685,87883,115819,172084,200848,230731,293453,359188,393546,428899,502186,579524,1,2
America,Saint Lucia,Saint Lucia,LCA,high,50618,89210,131870,174890,266463,315187,365975,474278,591454,654578,721351,863862,1020601,1,3
America,Saint Martin,Saint Martin,MAF,low,2931,363,652,996,1696,2038,2348,2943,3700,4022,4423,5125,5125,1,1
America,Saint Martin,Saint Martin,MAF,mean,2931,3700,5125,5125,5125,5125,5125,5125,5125,5125,5125,5125,5125,1,2
America,Saint Martin,Saint Martin,MAF,high,2931,5125,5125,5125,5125,5125,5125,5125,5125,5125,5125,5125,5125,1,3
America,Saint Vincent,Saint Vincent,VCT,low,12342,3554,6506,9924,17706,21515,25478,33220,40937,44958,49171,57791,67001,1,1
America,Saint Vincent,Saint Vincent,VCT,mean,12342,9628,17272,24847,40029,48068,56504,74770,94086,104194,114587,137090,161497,1,2
America,Saint Vincent,Saint Vincent,VCT,high,12342,17272,28755,40029,65400,79532,94086,125719,161497,180551,200356,242271,288542,1,3
America,Sint Maarten,Sint Maarten,SXM,low,728,206,338,425,509,555,601,708,800,800,800,800,800,1,1
America,Sint Maarten,Sint Maarten,SXM,mean,728,708,800,800,800,800,800,800,800,800,800,800,800,1,2
America,Sint Maarten,Sint Maarten,SXM,high,728,800,800,800,800,800,800,800,800,800,800,800,800,1,3
